Producto,Unidad,Stock Atolon,Stock Loggro,Diferencia,LoggroID
"Agua Manantial 500ml","Unidad",86,0,86,66edf821cf1f4054987f94d1
"Coca Cola Regular 330ml","Unidad",77,0,77,69ea6267f7b80da734abe78b
"CONTENEDOR DELI LITRO","Und",75,0,75,68752d804c711bfff50e5632
"Pan hamburguesa","Und",72,0,72,66411507c33d858647eaf81f
"CARIMAÑOLAS","Unidad",64,0,64,69ef86d6165467ddb35f4021
"Te mansanilla","Und",63,0,63,685d9ea3b1dabf512c668ff5
"Cerveza Stella Artois","Unidad",61,0,61,6874f7d56bea1eb52ae99bf4
"Agua Tonica 1976 Ocean","Und",58,0,58,696c336f59445a2af0524692
"MANTEQUILLA PORCION","Und",50,0,50,68752c87ad60df2a38217764
"Cafe juan valdez capsula x 8","Und",48,0,48,685d999d8351b342aa1e91a3
"Don Julio Reposado 700ml","Unidad",46.6,0,46.6,687474c23235d2eb347c0a96
"Red Bull 250ml","Unidad",45,0,45,68750c800f8f3850d5113e30
"CHICHARRONES por 200gr","Unidad",40,0,40,66f60b39c3ad95c839432c24
"Ginger Beer","Und",38,0,38,6875e2c2284ec44c04ad216c
"Maestro Dobel 700ml","Unidad",36.3,0,36.3,68747900a5b603dc417b76fc
"Agua Tonica 1976 India","Unidad",35,0,35,655676d00635a005ec3fbd76
"Agua Tonica 1976 Pink","Unidad",32,0,32,68750bb67da9b166c887ee3f
"COCADAS TRADICIONALES","Und",28,0,28,6874472e7d3f758e7588e708
"Mojarra roja","Und",27,0,27,66411508c33d858647eaf8db
"PARGO ROJO","Und",23,0,23,66db21f59c233f8e1da6f730
"Leche deslactosada","Und",23,0,23,685d91d28351b342aacee3ef
"Don Julio Blanco 700ml","Unidad",20.5,0,20.5,6874748ba5b603dc416506fc
"Jack Daniels #7 - 700ml","Unidad",19,0,19,68748037b0bafa6e50a1228d
"Salsa de tomate","Und",17,0,17,685da001534de096bf7e2dbc
"Panela D1","Und",16,0,16,6644e2ac8428e904c5bc944c
"Botellon de Agua","Und",16,0,16,6a550a27e0089729cccd67b4
"Ginger Canada Dry 300ml","Und",16,0,16,6875e2a2069165510a29addc
"GALLETAS DUCALES (TACO)","Und",16,0,16,666b21106490f26c1a29474f
"Aguardiente Antioqueño Verde 750ml","Unidad",14.4,0,14.4,687460d6b0bafa6e50e34943
"Vodka Velvedere 700ml","Unidad",14.1,0,14.1,6874eefe4c711bfff5a0e4ae
"Hamburguesa Angus","Und",13,0,13,66411507c33d858647eaf819
"Espumoso Baron Rotberg 750ml","Unidad",12,0,12,6874fa3a284ec44c0403fb58
"brownie","Und",12,0,12,66574d19d2edf47f61bc6d49
"Ginebra Gordons 700ml","Unidad",12,0,12,6874f08d0f8f3850d59e8410
"VINO TINTO RAMON BILBAO CRIANZA","Und",12,0,12,6a08f4368c6215cf87a148a5
"Electrolit Uva","Und",12,0,12,6a5005c81feb97a732f3b772
"Vodka Smirnoff Red 700ml","Unidad",11.9,0,11.9,6874ef3a7da9b166c81d6c0e
"RON VIEJO DE CALDAS CARTA DE ORO - 750ml","Und",11.8,0,11.8,6a08f4f66a419106f2081f98
"Mezcal Union 700ml","Unidad",11,0,11,687479486a01a81919e7597e
"Club Colombia","Unidad",11,0,11,6874f875284ec44c04fe14b4
"Aguardiente Amarillo 750ml","Unidad",10.7,0,10.7,654be154cccae705ddc17f76
"Tequila 1800 Anejo - 750ml","Und",10.5,0,10.5,69ea6ce7f7b80da734195cf1
"Ginebra Tanqueray Dry 700ml","Unidad",10.4,0,10.4,6874f07618820633869777ca
"CARNE BISTECK","Kg",10.32,0,10.32,686015c16d48f254ed5dbd97
"Aperol 750ml","Unidad",10.2,0,10.2,6874f534728142c85d5e1740
"MASA DE CERDO","Kg",10.17,0,10.17,664b497ab8b8ee2cbb25413b
"Wyborowa 700ml","Und",9.8,0,9.8,69efa34c6725419c542d9e91
"Ron Bacardi Blanco 700ml","Unidad",9.5,0,9.5,6874eab74c711bfff59d8dfb
"VINO BLANCO RAMON BILBAO VERDEJO","Und",8.4,0,8.4,6a08f76d5ddc4d6beaf6193d
"Don Julio 1942 - 750ml","Unidad",8,0,8,6874752f6bea1eb52a3f4fde
"Cerveza Aguila Original","Unidad",8,0,8,6874f7ad6bea1eb52ae94094
"CARNE MOLIDA","Kg",7.98,0,7.98,666dfe79b687fd7642db5e55
"BURRATA","Unidad",7,0,7,6577406716d6b105f797db3a
"Alas de Pollo","Kg",6.3,0,6.3,66411508c33d858647eaf893
"Licor Triple Sec 750ml","Unidad",6.2,0,6.2,6874f451df1cf740b1b9b325
"Licor Cointreau 700ml","Unidad",5.5,0,5.5,6874f3e5728142c85d5b7c8a
"Chivas Regal 18 - 700ml","Unidad",5.3,0,5.3,6874809c2294530971673537
"Mar de Frades","Und",5,0,5,696c4247c724331baf3f901d
"Electrolit Fresa","Und",5,0,5,6a50059b581b40c0ae510c43
"Licor 43 - 750ml","Unidad",4.8,0,4.8,6874f3af18820633869d250e
"Ron Viejo de Caldas Tradicional 750ml","Unidad",4.6,0,4.6,6874eb5502031e4f0819aae5
"Buchanan 18 - 750ml","Unidad",4.5,0,4.5,68747f036a01a81919fac523
"Chivas Regal 12 - 700ml","Unidad",4.3,0,4.3,68748081229453097166ef50
"Gatorade Tropical 500ml","Und",4,0,4,6a5016b57ff6c1afe7492487
"Mayonesa Fruco","Und",4,0,4,685d9f79b2279b1025b4c096
"Old Parr 12 - 750ml","Unidad",4,0,4,68747f9a19a9cdba456d392a
"VODKA KETEL ONE - 750ml","Und",3.8,0,3.8,6a08f469fa2353f1e2ab400c
"ZACAPA 23 750 ML","Und",3.7,0,3.7,6876c207f4e6f5e2a830590f
"Ron Bacardi Añejo 700ml","Unidad",3.2,0,3.2,6874eaef02031e4f08196f25
"Remy Martin 700ml","Unidad",3,0,3,6874f557284ec44c04f700cf
"PANELA","Und",3,0,3,689faf23c6f3912e9fbe6132
"Ginebra Tanqueray Ten","Unidad",3,0,3,6874f28902031e4f081fa2a8
"FRUTOS ROJOS CONGELADOS","Kg",3,0,3,685c648d0e7293a2fa6a3bb4
"Licor Triple Sec Blue 750ml","Unidad",3,0,3,6874f48cdf1cf740b1bb67c7
"Ron La Hechicera 700ml","Unidad",2.9,0,2.9,6874eb0c4c711bfff59dc965
"Buchanan Master  - 750ml","Und",2.9,0,2.9,69ea6dba117b22e1d8afd8a9
"Jameson 700ml","Unidad",2.8,0,2.8,687480590f8f3850d52d45eb
"Jagermeister 700ml","Und",2.8,0,2.8,68f19176853eb738a2d06a57
"Grey Goose 700ml OZ","Unidad",2.5,0,2.5,654c3d14cccae705ddc1df64
"DICTADOR 12 AÑOS 700 ML","Und",2.5,0,2.5,6876c16b56b73e811dee967a
"Johnnie Walker Red Label 700ml","Unidad",2.1,0,2.1,68747fd7284ec44c0478be86
"Bulleit Rye 750ml","Unidad",2.1,0,2.1,687480ff02031e4f08b19c18
"Don Julio Anejo 700ml","Unidad",2.1,0,2.1,687474e7a5b603dc41673682
"PAN MOGOLLA","Und",2,0,2,66e709cfcafd3eb69bd3e6e0
"Jose Cuervo Reposado 750ml","Unidad",2,0,2,687478af22945309714b6b94
"PAN MASA MADRE","Unidad",2,0,2,6648fd22aff6633bf4e229c8
"Ginebra Bombay Sapphire 700ml","Unidad",2,0,2,6874f0ef19a9cdba45e10336
"Moet Chandon Ice 750ml","Unidad",2,0,2,6874facd02031e4f0836e655
"Miel","Und",2,0,2,685d9d99d61654d772f40d3c
"Soho Licor de Lichee 700ml","Unidad",2,0,2,6874f3c87da9b166c8247492
"Buchanan 12 - 750ml","Unidad",2,0,2,68747eed19a9cdba456b5fef
"Pan tajado","Unidad",2,0,2,6658b3dc7d538689e83597ac
"Tajin","Und",2,0,2,685d95f6138f4572af3c7e69
"Martini Bitters 1000ml","Unidad",2,0,2,6874f5077da9b166c8276c2a
"Corozo","Kg",2,0,2,685da0c606bd5b36c21eef95
"Vermouth Cinzano Bianco 1000ml","Und",2,0,2,69efa34b71fed8c593c7ad6a
"Bermut Martini Bianco 750ml","Unidad",1.9,0,1.9,6874f4eb728142c85d5dc658
"Bermut Martini Rosso 750ml","Unidad",1.8,0,1.8,6874f4c30f8f3850d5a75000
"Monkey Shoulder 700ml","Unidad",1.7,0,1.7,687480c519a9cdba4570c11d
"FRANGELICO 700 ML","Und",1.5,0,1.5,68757a5f4468359327a41f28
"1800 SILVER","Und",1.5,0,1.5,69876ffddf878859a3797d1c
"Mezcal 400 Conejos 750ml","Unidad",1.4,0,1.4,68747969357a5288c8de77a7
"Licor Amareto Disaronno 750ml","Unidad",1.4,0,1.4,6874f40519a9cdba45e5ec67
"Mezcal Ojo de Tigre 750ml","Unidad",1.4,0,1.4,68747c5e7da9b166c8a1396a
"Bulleit Bourbon 750ml","Unidad",1.1,0,1.1,687480eb1f6c5e3777ef1fc7
"CLORO 20 LT","Und",1,0,1,69f25b427f65cb794ddd5e1f
"Aguardiente Antioqueño Azul 750ml","Unidad",1,0,1,66f9d9a806e3d55c9feeb67e
"Tequila 1800 Reposado - 750ml","Und",1,0,1,69ea6cb147d16c258971bdfb
"Flor de Cana 4 Anos","Und",1,0,1,696c426e4f99f1902148cd9a
"París de Nuit 750ml","Und",1,0,1,69efa34ce23e1120ac1af6a0
"The Glenlivet 12  700 ml","Und",1,0,1,6876c7cd56b73e811d27c8fa
