Clasificacion,Producto,Categoria,Cantidad,Valor
bebida,"Mini bar - Cocacola cero","Minibar",4,44000
bebida,"Mini bar- Cocacola","Minibar",4,44000
comida,"HUEVOS AL GUSTO HUEVOS  JAMON Y QUESO","(sin categoria)",4,119600
comida,"adicion de camarones","COMPLEMENTOS Y ADICIONALES",4,100000
comida,"BURRATA, CONFITURA DE COROZO Y PAN DE MASA MADRE VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU",3,3
bebida,"BAYLEIS SHOT","Shots",3,105000
comida,"ATOLON SALAD VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU",3,3
comida,"HUEVOS AL GUSTO HUEVOS REVUELTOS TOMATE Y CEBOLLA","(sin categoria)",3,89700
comida,"ENTRAÑA PURE DE BATATA","(sin categoria)",3,259800
bebida,"BELVEREDE  VODKA SHOT","VODKA / GIN",3,105000
bebida,"TANQUERAY LONDON SHOTS","VODKA / GIN",3,112500
bebida,"AGUARDIENTE ANTIOQUEÑO VERDE SHOT","AGUARDIENTE",3,90000
bebida,"COROZMOPOLITAN","COCKTAILS / MIX",3,165000
bebida,"HEINEKEN MICHELADA","(sin categoria)",3,63000
comida,"PIZZA NUTELLA VIP EXCLUSIVE","VIP EXCLUSIVE MENU",3,3
comida,"PANCAKES DE NUTELLA VIP EXCLUSIVE","VIP EXCLUSIVE MENU",3,3
comida,"PESCADO EN POSTA VIP EXCLUSIVE SALSA CRIOLLA","(sin categoria)",3,3
comida,"TACOS DE PESCADO VIP EXCLUSIVE","VIP EXCLUSIVE MENU",3,3
bebida,"PATRON BT","BOTELLAS",3,1740000
bebida,"PATRON SHOT","TEQUILA / MEZCAL",2,97000
bebida,"Jarra de Piña","Jugos",2,70000
bebida,"SODA SABORIZADA SODA CEREZADA","(sin categoria)",2,36000
bebida,"RON HAVANA CLUB 7 SHOT","RON",2,75000
bebida,"OLD FASHION","COCKTAILS / MIX",2,110000
comida,"BURRATA Y CONFITURA DE COROZO CON PAN MASA MADRE","ENTRADAS Y ENSALADAS",2,120000
bebida,"Vaso de Leche","BEBIDA CALIENTES - HOT SOFT DRINKS",2,10000
comida,"PIZZA VEGETARIANA","MENU FULL YATE",2,84000
comida,"HUEVOS AL GUSTO HUEVOS FRITOS","(sin categoria)",2,59800
bebida,"1800 SILVER SHOT","TEQUILA / MEZCAL",2,140000
otro,"MASAJE 30 MNTS","Otros",2,300000
bebida,"BLOODY MARY","COCKTAILS / MIX",2,110000
bebida,"Agua Tónica 1976","BEBIDAS",2,40000
comida,"ADICION DE MAYONESA CHIPLOTE","(sin categoria)",2,6000
bebida,"Santa Carolina Reservado Merlot","VINOS / ESPUMOSOS",2,280000
bebida,"Tónica PINK","BEBIDAS",2,40000
comida,"SALSA - CHILE HABANERO","COMPLEMENTOS Y ADICIONALES",2,6000
comida,"Adicion de queso costeño","Insumos cocina",2,12000
bebida,"AROMATICA - TE INFUSION","BEBIDA CALIENTES - HOT SOFT DRINKS",2,20000
comida,"COMIDA DE STAFF","COMPLEMENTOS Y ADICIONALES",2,56000
comida,"PIZZA PEPPERONI VIP EXCLUSIVE","VIP EXCLUSIVE MENU",2,2
comida,"TACOS DE CAMARON VIP EXCLUSIVE","VIP EXCLUSIVE MENU",2,2
bebida,"MOJITO GINGER","COCKTAILS / MIX",2,50000
bebida,"JAMESON WHISKEY SHOT","WHISKY / BOURBON",2,80000
bebida,"TANQUERAY TEN SHOTS","VODKA / GIN",2,96000
comida,"LANGOSTA A LA PARRILLA","PLATOS PRINCIPALES",2,220000
bebida,"MUGA RIOJA VINO ROSE   BT","BOTELLAS",2,500000
comida,"ENTRAÑA VEGETALES A LA PARRILA","(sin categoria)",2,173200
bebida,"ESPRESSO MARTINI","COCKTAILS / MIX",1,55000
comida,"PIZZA ATOLON VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU",1,1
comida,"ARROZ CALDOSO DE MARISCO VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU",1,1
bebida,"JARRA DE SANDIAA","Jugos",1,40000
comida,"tocineta","COMPLEMENTOS Y ADICIONALES",1,15900
bebida,"limonada cerezada","Jugos",1,16000
?,"BEBIDAS LECHE","(sin categoria)",1,1
comida,"CHILAQUILES CHILAQUILES CON ENTRAÑA","(sin categoria)",1,44000
bebida,"MUGA RIOJA  COPA  VINO ROSE","VINOS / ESPUMOSOS",1,50000
comida,"Espinacas a la crema y parmesano","MENU FULL YATE",1,15500
comida,"Pizza de Nutella","MENU FULL YATE",1,48000
bebida,"DON JULIO BLANCO BT","BOTELLAS",1,650000
comida,"PIE DE LIMÓN","MENU FULL YATE",1,32000
bebida,"Jarra de maracuya","BEBIDAS",1,40000
bebida,"Vodka Absolut BT","BOTELLAS",1,300000
?,"BEBIDAS TÉ","(sin categoria)",1,1
comida,"Atún Poke Bowl","MENU FULL YATE",1,52000
bebida,"GINGER ALE","BEBIDAS",1,11000
comida,"Cóctel de Camarón","MENU FULL YATE",1,60000
comida,"CHANDON  BRUT EXCLUSIVE","VIP EXCLUSIVE MENU",1,1
comida,"CHILAQUILES CHILAQUILES ROJO","(sin categoria)",1,30000
bebida,"ANTIOQUEÑO AZUL SIN AZUCAR SHOT","(sin categoria)",1,30000
comida,"ADICION DE SUERO","COMPLEMENTOS Y ADICIONALES",1,3000
comida,"PIZZA MARGARITA VIP PASS PASADIA","VIP PASS MENU",1,1
comida,"PIZZA VEGETARIANA VIP PASS PASADIA","VIP PASS MENU",1,1
comida,"GNOCCHIS DE PAPA A LA GORGONZOLA","MENU FULL YATE",1,20000
comida,"ESPINACAS A LA CREMA","COMPLEMENTOS Y ADICIONALES",1,15500
bebida,"BEEFEATER PINK BT","BOTELLAS",1,550000
bebida,"MEZCAL OJO DE TIGRE SHOTS","TEQUILA / MEZCAL",1,55000
bebida,"BUCHANAN'S 18 AÑOS BT","BOTELLAS",1,900000
bebida,"BEEFEATER PINK SHOTS","VODKA / GIN",1,45500
bebida,"Buchanan's Master BT","BOTELLAS",1,750000
comida,"ATUN POKE BOWL VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU",1,1
comida,"PESCADO FRITO VIP EXCLUSIVE MOJARRA","(sin categoria)",1,1
comida,"ENTRAÑA  VIP EXCLUSIVE","VIP EXCLUSIVE MENU",1,1
comida,"HUEVOS AL GUSTO HUEVOS  CON TOCINETA","(sin categoria)",1,15900
bebida,"SODA SABORIZADA SODA FRUTOS ROJOS","(sin categoria)",1,18000
bebida,"JUGOS - Guanabana en agua","(sin categoria)",1,9000
comida,"FILETE  DE POLLO GRILLED","PLATOS PRINCIPALES",1,65000
bebida,"BUCHANAN'S 12 AÑOS SHOT","WHISKY / BOURBON",1,45800
