LoggroID,Ingrediente,Categoria,Unidad,StockLoggro,EnAtolon
"6a50059b581b40c0ae510c43","Electrolit Fresa","BEBIDAS","Und",0,"Electrolit Fresa"
"6a08f6f2e407a85b2fde2cbd","ELECTROLIT MARACUYA 625ML","BEBIDAS","Und",0,"ELECTROLIT MARACUYA 625ML"
"6a5005c81feb97a732f3b772","Electrolit Uva","BEBIDAS","Und",0,"Electrolit Uva"
"685d7a3e04de37471ad11165","EMULSION DE BALSAMICO","PRODUCCION COCINA","Ml",0,""
"69f236931e12a1422fa3726e","ENJUAGE BUCAL","Otros","Und",0,"ENJUAGE BUCAL"
"66576a889ebba94105afdc53","ENSALADAS","COMEDOR STAFF","?",0,""
"66576a889ebba94105afdc5a","ENSALADAS ENSALADA COCIDA","COMEDOR STAFF","Kg",0,""
"6a2efc0e0a17affc82f1cc8c","ESCOBA DE PALITO","Otros","Und",0,"ESCOBA DE PALITO"
"69f228ebe794136c22f44a9f","escoba hotelera","Otros","Und",0,"escoba hotelera"
"68f191956ce5d941e3363424","Espumoso Chandon Rose 187ml","VINOS / ESPUMOSOS","Und",0,"Espumoso Chandon Rose 187ml"
"68f26d4c7fae8f19d44a78ca","Espumoso Moelia Rose","VINOS / ESPUMOSOS","Und",0,"Espumoso Moelia Rose"
"669b08b3c217d9f09164cba7","fideos","Insumos cocina","Gr",0,"fideos"
"69fb7170de117f308f71065f","FIDEOS DE ARROZ","Insumos cocina","?",0,"FIDEOS DE ARROZ"
"669070c5288affcfd4ddffb0","flores comestibles","Insumos cocina","Und",0,"flores comestibles"
"66411508c33d858647eaf88d","Fresa","PRODUCCION COCINA","Gr",0,"Fresa"
"6a51671d7ff6c1afe7b08a20","Fresa Congelada","Insumos cocina","Gr",0,"Fresa Congelada"
"665628fb1eb8170d11fe00f2","FRIJOL REFRITO","PRODUCCION COCINA","Gr",0,""
"665755fdcd2a68bbb30f488f","FRIJOL ROJO","COMEDOR STAFF","Kg",0,""
"69f22bee833c39f610c88ca9","FROTEX CREMA MULTIUSOS 550g","Otros","Und",0,"FROTEX CREMA MULTIUSOS 550g"
"677de80320a5c2570adb6c33","Fusion de jalapeño","Producción BAR","Ml",0,"Fusion de jalapeño"
"69f25e05d18de786dc9e3fa3","GALLETA CLUB SOCIAL INTEGRAL 216 GR","Otros","?",0,"GALLETA CLUB SOCIAL INTEGRAL 216 GR"
"69f25ef0d18de786dca4fd42","GALLETAS CLUB SOCIAL INTEGRAL 216 GR","Otros","?",0,"GALLETAS CLUB SOCIAL INTEGRAL 216 GR"
