Producto,Categoria,UnidadProducto,PrecioVenta,Fuente
"CENA BODA","BODA","",165000,"/products"
"CENA PRE-BODA","BODA","",65000,"/products"
"CENA SAN VALENTIN","PLATOS PRINCIPALES","",0,"/products"
"CEPILLO DENTAL","Otros","Und",0,"/ingredients"
"CEPILLOS PARA LAVAR","Otros","Und",0,"/ingredients"
"CERA PARA DUELAS DE MADERA","Otros","Und",0,"/ingredients"
"CERBEZA BODA COSTEÑITCA","BODA","",12000,"/products"
"Cerdo Barriguero","PRODUCCION COCINA","Gr",0,"/ingredients"
"CEREAL","Insumos cocina","Und",0,"/ingredients"
"Cereza","Producción BAR","Unidad",0,"/ingredients"
"Cereza marrasquino","Producción BAR","Gr",0,"/ingredients"
"Cerveza Aguila Light","CERVEZAS","Unidad",0,"/ingredients"
"Cerveza Aguila Original","CERVEZAS","Unidad",0,"/ingredients"
"Cerveza Corona","CERVEZAS","Unidad",0,"/ingredients"
"Cerveza Coronita","CERVEZAS","Unidad",0,"/ingredients"
"Cerveza Costeñita","CERVEZAS","Unidad",0,"/ingredients"
"Cerveza Heineken","CERVEZAS","Unidad",0,"/ingredients"
"CERVEZA HEINEKEN","Minibar","",18000,"/products"
"Cerveza Stella Artois","CERVEZAS","Unidad",0,"/ingredients"
"CHIA","Insumos cocina","Gr",0,"/ingredients"
"CHICHARRONES por 200gr","PRODUCCION COCINA","Unidad",0,"/ingredients"
"chilaquiles","FULL YATE MENU","",30000,"/products"
"CHILAQUILES","MENU - DESAYUNOS","",30000,"/products"
"CHILAQUILES","MENU - DESAYUNOS","",0,"/products"
"CHILE CHIPOTLE","Insumos cocina","Gr",0,"/ingredients"
"Chile Guajillo","Insumos cocina","Gr",0,"/ingredients"
"Chile Jalapeno","Insumos cocina","Gr",0,"/ingredients"
"Chivas Regal 12 - 700ml","WHISKY / BOURBON","Unidad",0,"/ingredients"
"Chivas Regal 18 - 700ml","WHISKY / BOURBON","Unidad",0,"/ingredients"
