Producto,Categoria,UnidadProducto,PrecioVenta,Fuente
"Vino Ramon Bilbao Rueda Verdejo","VINOS / ESPUMOSOS","",0,"/ingredients"
"Vino Rosado Muga","VINOS / ESPUMOSOS","Und",0,"/ingredients"
"Vino Rosaleda Rosse","VINOS / ESPUMOSOS","Und",0,"/ingredients"
"VIno Tinto","DESCORCHE","",49750,"/products"
"Vino Tinto 120 - 750ml","VINOS / ESPUMOSOS","Unidad",0,"/ingredients"
"VINO TINTO EL ANDEN","VINOS / ESPUMOSOS","",180,"/products"
"Vino Tinto La Celia 750ml","VINOS / ESPUMOSOS","Unidad",0,"/ingredients"
"VINO TINTO RAMON BILBAO CRIANZA","VINOS / ESPUMOSOS","Und",0,"/ingredients"
"Vino Tinto Rosaleda 750ml","VINOS / ESPUMOSOS","Unidad",0,"/ingredients"
"Vino Tinto Santa Carolina Reservado 750ml","VINOS / ESPUMOSOS","Unidad",0,"/ingredients"
"Vino Tinto Santa Helena","VINOS / ESPUMOSOS","Und",0,"/ingredients"
"Vinos Blancos Don Luis Chardonnay","VINOS / ESPUMOSOS","",179400,"/products"
"Vinos Blancos Santa Helena Sauvignon Blanc BT","BOTELLAS","",122700,"/products"
"Vinos Rosados Santa Helena Cabernet Rose BT","BOTELLAS","",149700,"/products"
"VIP PASS","COMPLEMENTOS Y ADICIONALES","",60000,"/products"
"VISITA DE INSPECCIÓN","CORTESIAS","",1,"/products"
"Vodka Absolut 700ml","VODKA / GIN","Unidad",0,"/ingredients"
"Vodka Absolut Elix 750ml","VODKA / GIN","Unidad",0,"/ingredients"
"vodka ELIX BT","BOTELLAS","",550000,"/products"
"Vodka Grey Goose 700ml","VODKA / GIN","Unidad",0,"/ingredients"
"VODKA KETEL ONE - 750ml","VODKA / GIN","Und",0,"/ingredients"
"vodka Russ kaya Shot","VODKA / GIN","",30000,"/products"
"Vodka Smirnoff Red 700ml","VODKA / GIN","Unidad",0,"/ingredients"
"Vodka Velvedere 700ml","VODKA / GIN","Unidad",0,"/ingredients"
"Wyborowa 700ml","VODKA / GIN","",0,"/ingredients"
"YOGUOR GRIEGO","Insumos cocina","Gr",0,"/ingredients"
"YUCA MCKAIN","Insumos cocina","Unidad",0,"/ingredients"
"yuca para personal","Insumos cocina","Kg",0,"/ingredients"
"ZACAPA 23 750 ML","RON","Und",0,"/ingredients"
"ZACAPA 23 AÑOS BT","BOTELLAS","",765000,"/products"
"Zacapa Ambar 750ml","RON","Unidad",0,"/ingredients"
"ZACAPA AMBAR BT","BOTELLAS","",450000,"/products"
"Zanahoria","Insumos cocina","Gr",0,"/ingredients"
"zanahoria baby","Insumos cocina","Gr",0,"/ingredients"
"ZARZAMORA","PRODUCCION COCINA","Gr",0,"/ingredients"
"Zumo de corozo","Producción BAR","Ml",0,"/ingredients"
"Zumo de lichee","Producción BAR","Ml",0,"/ingredients"
"Zumo de limon","Producción BAR","Ml",0,"/ingredients"
"ZUQUINI AMARILLO","Insumos cocina","Gr",0,"/ingredients"
"ZUQUINI VERDE","Insumos cocina","Gr",0,"/ingredients"
