Producto,Categoria,UnidadProducto,Ingrediente,CantidadReceta,UnidadIngrediente
"Crocantes plátanos fritos servidos con delicioso suero costeño. Crispy fried plantains served with delicious costeño style cream.","MENU ATOLONTO KIDS","","patacón de pochocho",6,"Und"
"Crocantes plátanos fritos servidos con delicioso suero costeño. Crispy fried plantains served with delicious costeño style cream.","MENU ATOLONTO KIDS","","Suero Costeño",30,"Gr"
"CUBA LIBRE","COCKTAILS / MIX","","Coca Cola Original Botella 400ml",0.5,"Unidad"
"CUBA LIBRE","COCKTAILS / MIX","","Zumo de limon",15,"Ml"
"CUBA LIBRE","COCKTAILS / MIX","","Ron Viejo de Caldas Tradicional 750ml",0.08,"Unidad"
"CUERVO PLATA BT","BOTELLAS","","Jose Cuervo Blanco 750ml",1,"Unidad"
"CUERVO PLATA SHOT","TEQUILA / MEZCAL","","Jose Cuervo Blanco 750ml",0.8,"Unidad"
"CUERVO REPOSADO BT","BOTELLAS","","Jose Cuervo Reposado 750ml",1,"Unidad"
"CUERVO REPOSADO SHOT","TEQUILA / MEZCAL","","Jose Cuervo Reposado 750ml",0.08,"Unidad"
"DAIQUIRI MARACUYA","COCKTAILS / MIX","","Ron Viejo de Caldas Blanco 750ml",0.8,"Unidad"
"DAIQUIRI MARACUYA","COCKTAILS / MIX","","pulpa de maracuya",0.5,"Und"
"DAIQUIRI MARACUYA","COCKTAILS / MIX","","Zumo de limon",30,"Ml"
"DAIQUIRI MARACUYA","COCKTAILS / MIX","","Syrup Simple",1,"Oz"
"Dedos de Pollo | Chicken Fingers","MENU ATOLONTO KIDS","","pechuga de pollo",300,"Gr"
"Dedos de Pollo | Chicken Fingers","MENU ATOLONTO KIDS","","panko",100,"Gr"
"Dedos de Pollo | Chicken Fingers","MENU ATOLONTO KIDS","","harina de trigo",100,"Gr"
"Dedos de Pollo | Chicken Fingers","MENU ATOLONTO KIDS","","HUEVOS",1,"Und"
"Dedos de Pollo | Chicken Fingers","MENU ATOLONTO KIDS","","Paprika Badia",2,"Gr"
"Dedos de Pollo | Chicken Fingers","MENU ATOLONTO KIDS","","Sal",1,"Gr"
"Dedos de Pollo | Chicken Fingers","MENU ATOLONTO KIDS","","Salsa de tomate",10,"Gr"
"Dedos de Pollo | Chicken Fingers","MENU ATOLONTO KIDS","","Mayonesa Fruco",10,"Gr"
"Dedos de Pollo | Chicken Fingers","MENU ATOLONTO KIDS","","papas francesas",200,"Gr"
"Desayuno Americano","Desayuno","","HUEVOS",1,"Und"
"Desayuno Americano","Desayuno","","premezcla pancakes aunt jemima",150,"Gr"
"Desayuno Americano","Desayuno","","Leche deslactosada",150,"ml"
"Desayuno Americano","Desayuno","","syrope Aunt jemima",30,"Ml"
"Desayuno Costeño","Desayuno","","Suero Costeño",30,"Gr"
"Desayuno Costeño","Desayuno","","masa de  yuca",150,"Gr"
"Desayuno Costeño","Desayuno","","Harina de maiz",75,"Gr"
"Desayuno Costeño","Desayuno","","Huevos",1,"Und"
"Desayuno Costeño","Desayuno","","Sal",0.5,"Gr"
"Desayuno Costeño","Desayuno","","Agua",50,"Ml"
"Desayuno Costeño","Desayuno","","Aceite Vegetal",200,"ml"
"Desayuno Costeño","Desayuno","","MASA DE CERDO",50,"Kg"
"Desayuno Costeño","Desayuno","","sofrito",10,"Gr"
"Desayuno Costeño","Desayuno","","Jengibre",2,"Gr"
"Desayuno Costeño","Desayuno","","butifarra",2,"Und"
"DESAYUNO COSTEÑO","MENU - DESAYUNOS","","MASA DE MAIZ AMARRILLO",100,"Gr"
"DESAYUNO COSTEÑO","MENU - DESAYUNOS","","HUEVOS",1,"Und"
"DESAYUNO COSTEÑO","MENU - DESAYUNOS","","Queso Costeño",150,"Gr"
"DESAYUNO COSTEÑO","MENU - DESAYUNOS","","butifarra",2,"Und"
"DESAYUNO COSTEÑO","MENU - DESAYUNOS","","Suero Costeño",30,"Gr"
"DICTADOR 12 AÑOS BT","BOTELLAS","","DICTADOR 12 AÑOS 700 ML",1,"Und"
"DICTADOR 12 AÑOS SHOT","RON","","DICTADOR 12 AÑOS 700 ML",0.0857,"Und"
"DICTADOR 20 AÑOS BT","BOTELLAS","","DICTADOR 20 AÑOS 700 ML",1,"Und"
"DICTADOR 20 AÑOS SHOT","RON","","DICTADOR 20 AÑOS 700 ML",0.0857,"Und"
"DIPLOMATICO","BOTELLAS","","DIPLOMATICO 700 ML",1,"Und"
"DIPLOMATICO SHOT","RON","","DIPLOMATICO 700 ML",0.857,"Und"
"DON JULIO 1942 BT","BOTELLAS","","Don Julio 1942 - 750ml",1,"Unidad"
"DON JULIO 1942 SHOT","TEQUILA / MEZCAL","","Don Julio 1942 - 750ml",0.08,"Unidad"
"DON JULIO 70 BT","BOTELLAS","","Don Julio 70 - 700ml",1,"Unidad"
"DON JULIO 70 SHOT","TEQUILA / MEZCAL","","Don Julio 70 - 700ml",0.0857,"Unidad"
"DON JULIO AÑEJO BT","BOTELLAS","","Don Julio Anejo 700ml",1,"Unidad"
"DON JULIO AÑEJO SHOT","TEQUILA / MEZCAL","","Don Julio Anejo 700ml",0.0857,"Unidad"
"DON JULIO BLANCO BT","BOTELLAS","","Don Julio Blanco 700ml",1,"Unidad"
"DON JULIO BLANCO SHOT","TEQUILA / MEZCAL","","Don Julio Blanco 700ml",0.0857,"Unidad"
"DON JULIO REPOSADO BT","BOTELLAS","","Don Julio Reposado 700ml",1,"Unidad"
"DON JULIO REPOSADO SHOT","TEQUILA / MEZCAL","","Don Julio Reposado 700ml",0.0857,"Unidad"
"DON SIMON BT","BOTELLAS","","DON SIMON VINO BLANCO",1,"Und"
"DON SIMON VINO BLANCO","VINOS / ESPUMOSOS","","DON SIMON VINO BLANCO",0.85,"Und"
"DRY MARTINI","COCKTAILS / MIX","","Ginebra Gordons 700ml",0.0857,"Unidad"
"DRY MARTINI","COCKTAILS / MIX","","Bermut Martini Bianco 750ml",0.04,"Unidad"
"DRY MARTINI","COCKTAILS / MIX","","Aceitunas",15,"Gr"
"DUQUE DE ALBA SHOT","SPIRITS & COGNACS","","Brandy Domecq 750ml",0.08,"Unidad"
"Electrolit 625ml","BEBIDAS","","Electrolit 625ml",1,""
"Electrolit 625ml","BEBIDAS","","Hielo",5,"Gr"
"EMPAQUE DESECHABLE","COMPLEMENTOS Y ADICIONALES","","desechables",1,"Und"
"EMULSION DE BALSAMICO","PRODUCCION COCINA","Ml","Aceite Vegetal",300,"ml"
"EMULSION DE BALSAMICO","PRODUCCION COCINA","Ml","Aceite de oliva",300,"Ml"
"EMULSION DE BALSAMICO","PRODUCCION COCINA","Ml","Vinagre balsamico",300,"Ml"
"EMULSION DE BALSAMICO","PRODUCCION COCINA","Ml","Sal",5,"Gr"
"EMULSION DE BALSAMICO","PRODUCCION COCINA","Ml","Pimienta Badia",2,"Gr"
"ENCOCADO DE LANGOSTINO","PLATOS PRINCIPALES","","mejillones",100,"Gr"
"ENCOCADO DE LANGOSTINO","PLATOS PRINCIPALES","","LANGOSTINOS",70,"Gr"
"ENCOCADO DE LANGOSTINO","PLATOS PRINCIPALES","","CAMARON",70,"Gr"
"ENCOCADO DE LANGOSTINO","PLATOS PRINCIPALES","","LECHE DE COCO",250,"Ml"
"ENCOCADO DE LANGOSTINO","PLATOS PRINCIPALES","","Tomate",100,"Gr"
"ENCOCADO DE LANGOSTINO","PLATOS PRINCIPALES","","Cebolla blanca",100,"Gr"
"ENCOCADO DE LANGOSTINO","PLATOS PRINCIPALES","","Ajo",20,"Gr"
"ENCOCADO DE LANGOSTINO","PLATOS PRINCIPALES","","Paprika Badia",2,"Gr"
"ENCOCADO DE LANGOSTINO","PLATOS PRINCIPALES","","Sal",1,"Gr"
"ENCOCADO DE LANGOSTINO","PLATOS PRINCIPALES","","Cebolla Morada",20,"Gr"
"ENCOCADO DE LANGOSTINO Y MEJILLONES VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","mejillones",100,"Gr"
"ENCOCADO DE LANGOSTINO Y MEJILLONES VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","LANGOSTINOS",70,"Gr"
"ENCOCADO DE LANGOSTINO Y MEJILLONES VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","CAMARON",70,"Gr"
"ENCOCADO DE LANGOSTINO Y MEJILLONES VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","LECHE DE COCO",250,"Ml"
"ENCOCADO DE LANGOSTINO Y MEJILLONES VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Tomate",100,"Gr"
"ENCOCADO DE LANGOSTINO Y MEJILLONES VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Cebolla roja",100,"Gr"
"ENCOCADO DE LANGOSTINO Y MEJILLONES VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Ajo",20,"Gr"
"ENCOCADO DE LANGOSTINO Y MEJILLONES VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Paprika Badia",2,"Gr"
"ENCOCADO DE LANGOSTINO Y MEJILLONES VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Sal",2,"Gr"
"ENCOCADO DE LANGOSTINO Y MEJILLONES VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","ARROZ DE COCO",1,"Und"
"ENSALADA CESAR","ENTRADAS Y ENSALADAS","","LECHUGA ROMANA",100,"Gr"
"ENSALADA CESAR","ENTRADAS Y ENSALADAS","","ADEREZO CESAR",0.08,"Gr"
"ENSALADA CESAR","ENTRADAS Y ENSALADAS","","Queso parmesano bloque",10,"Gr"
"ENSALADA CESAR","ENTRADAS Y ENSALADAS","","Pan tajado",0.02,"Unidad"
"ENSALADA CESAR","ENTRADAS Y ENSALADAS","","pechuga de pollo",150,"Gr"
"ENSALADA CESAR VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","LECHUGA ROMANA",100,"Gr"
"ENSALADA CESAR VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","pechuga de pollo",150,"Gr"
"ENSALADA CESAR VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","ADEREZO CESAR",0.08,"Gr"
"ENSALADA CESAR VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Queso parmesano bloque",10,"Gr"
"ENSALADA CESAR VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Pan tajado",0.02,"Unidad"
"ENSALADA CESAR VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Aceite de oliva",20,"Ml"
"ENSALADAS","COMEDOR STAFF","","Lechuga Crespa Verde",500,"Gr"
"ENSALADAS","COMEDOR STAFF","","Tomate",200,"Gr"
"ENSALADAS","COMEDOR STAFF","","Cebolla blanca",200,"Gr"
"ENSALADAS","COMEDOR STAFF","","Sal",2,"Gr"
"ENSALADAS","COMEDOR STAFF","","Azucar Aro",5,"Gr"
"ENSALADAS","COMEDOR STAFF","","Mayonesa Fruco",100,"Gr"
"ENSALADAS","COMEDOR STAFF","","Vinagre 3000ML",50,"Ml"
"ENSALADAS ENSALADA COCIDA","COMEDOR STAFF","Kg","Papa",1000,"Gr"
"ENSALADAS ENSALADA COCIDA","COMEDOR STAFF","Kg","Cebolla blanca",200,"Gr"
"ENSALADAS ENSALADA COCIDA","COMEDOR STAFF","Kg","Zanahoria",200,"Gr"
"ENSALADAS ENSALADA COCIDA","COMEDOR STAFF","Kg","Azucar Aro",5,"Gr"
"ENSALADAS ENSALADA COCIDA","COMEDOR STAFF","Kg","Sal",5,"Gr"
"ENSALADAS ENSALADA COCIDA","COMEDOR STAFF","Kg","Mayonesa Fruco",100,"Gr"
"ENSALADAS ENSALADA COCIDA","COMEDOR STAFF","Kg","Vinagre 3000ML",50,"Ml"
"ENSALADAS ENSALADA FRESCA","COMEDOR STAFF","Und","Vinagre 3000ML",50,"Ml"
"ENSALADAS ENSALADA FRESCA","COMEDOR STAFF","Und","Sal",2,"Gr"
"ENSALADAS ENSALADA FRESCA","COMEDOR STAFF","Und","Azucar Aro",5,"Gr"
"ENSALADAS ENSALADA FRESCA","COMEDOR STAFF","Und","LECHUGA CRESPA MORADA",100,"Gr"
"ENSALADAS ENSALADA FRESCA","COMEDOR STAFF","Und","Tomate",30,"Gr"
"ENSALADAS ENSALADA FRESCA","COMEDOR STAFF","Und","Cebolla blanca",30,"Gr"
"ENSALADAS ENSALADA FRESCA","COMEDOR STAFF","Und","Mayonesa Fruco",10,"Gr"
"ENTRADA DE PATACONES","ENTRADAS Y ENSALADAS","","Suero Costeño",30,"Gr"
"ENTRADA DE PATACONES","ENTRADAS Y ENSALADAS","","Hogao",30,"Gr"
"ENTRADA DE PATACONES","ENTRADAS Y ENSALADAS","","Aceite Vegetal",50,"ml"
"ENTRADA DE PATACONES","ENTRADAS Y ENSALADAS","","platanos",1,"Und"
"ENTRAÑA","PLATOS PRINCIPALES","","ARRACHERA",350,"Gr"
"ENTRAÑA  VIP EXCLUSIVE","VIP EXCLUSIVE MENU","","ARRACHERA",350,"Gr"
"Espagueti al Pomodoro | Spaghetti Pomodoro","MENU ATOLONTO KIDS","","salsa napolitana",200,"Gr"
"Espagueti al Pomodoro | Spaghetti Pomodoro","MENU ATOLONTO KIDS","","SPAGHETTIS",120,"Gr"
"Espagueti al Pomodoro | Spaghetti Pomodoro","MENU ATOLONTO KIDS","","Queso parmesano bloque",30,"Gr"
"Espagueti al Pomodoro | Spaghetti Pomodoro","MENU ATOLONTO KIDS","","Tomate Cherry",30,"Gr"
"Espagueti al Pomodoro | Spaghetti Pomodoro","MENU ATOLONTO KIDS","","Aceite de oliva",10,"Ml"
"Espagueti al Pomodoro | Spaghetti Pomodoro","MENU ATOLONTO KIDS","","PAN MASA MADRE",0.2,"Unidad"
"ESPINACAS A LA CREMA","COMPLEMENTOS Y ADICIONALES","","Espinacas",200,"Gr"
"ESPINACAS A LA CREMA","COMPLEMENTOS Y ADICIONALES","","Queso parmesano bloque",20,"Gr"
"ESPINACAS A LA CREMA","COMPLEMENTOS Y ADICIONALES","","Crema de leche",50,"ml"
"ESPINACAS A LA CREMA","COMPLEMENTOS Y ADICIONALES","","Mantequilla",15,"Gr"
"ESPINACAS A LA CREMA","COMPLEMENTOS Y ADICIONALES","","harina de trigo",10,"Gr"
"ESPINACAS A LA CREMA","COMPLEMENTOS Y ADICIONALES","","Sal",1,"Gr"
"ESPINACAS A LA CREMA","COMPLEMENTOS Y ADICIONALES","","NUEZ MOSCADA",0.01,"Und"
"ESPRESSO DOBLE","BEBIDA CALIENTES - HOT SOFT DRINKS","","Cafe juan valdez capsula x 8",2,"Und"
"ESPRESSO MARTINI","COCKTAILS / MIX","","LICOR DE CAFÉ 750 ML",0.04,"Und"
"ESPRESSO MARTINI","COCKTAILS / MIX","","Syrup Simple",1,"Oz"
"ESPRESSO MARTINI","COCKTAILS / MIX","","Cafe Sello Rojo",25,"Gr"
"ESPRESSO MARTINI","COCKTAILS / MIX","","Vodka Absolut 700ml",0.0857,"Unidad"
"ESPUMOSO MOELIA 750 ML","VINOS / ESPUMOSOS","","Espumoso Moelia Brut",1,"Unidad"
"fermento de ajo y cebolla","PRODUCCION COCINA","Ml","Cebolla blanca",1000,"Gr"
"fermento de ajo y cebolla","PRODUCCION COCINA","Ml","Agua",500,"Ml"
"fermento de ajo y cebolla","PRODUCCION COCINA","Ml","Vinagre 3000ML",50,"Ml"
"FILETE  DE POLLO GRILLED","PLATOS PRINCIPALES","","Pollo Contra Muslo",400,"Kg"
"FILETE  DE POLLO GRILLED","PLATOS PRINCIPALES","","Aceite de oliva",30,"Ml"
"FILETE  DE POLLO GRILLED","PLATOS PRINCIPALES","","Sal",3,"Gr"
"FILETE DE PESCADO CON ARROZ CREMOSO","PLATOS PRINCIPALES","","Filete de Tilapia",150,"Gr"
"FILETE DE PESCADO CON ARROZ CREMOSO","PLATOS PRINCIPALES","","ARROZ DE COCO",1,"Und"
"FILETE DE PESCADO CON ARROZ CREMOSO","PLATOS PRINCIPALES","","LECHE DE COCO",200,"Ml"
"FILETE DE PESCADO CON ARROZ CREMOSO","PLATOS PRINCIPALES","","Mantequilla",15,"Gr"
"FILETE DE PESCADO CON ARROZ CREMOSO","PLATOS PRINCIPALES","","Crema de leche",15,"ml"
"FILETE DE PESCADO CON ARROZ CREMOSO","PLATOS PRINCIPALES","","GUATILA",30,"Gr"
"FILETE DE PESCADO CON ARROZ CREMOSO","PLATOS PRINCIPALES","","Zanahoria",30,"Gr"
"FILETE DE PESCADO CON ARROZ CREMOSO","PLATOS PRINCIPALES","","PASTA TEMPURA",0.05,"Kg"
"FILETE DE PESCADO CON ARROZ CREMOSO","PLATOS PRINCIPALES","","Aceite de oliva",5,"Ml"
"FILETE DE PESCADO CON ARROZ CREMOSO","PLATOS PRINCIPALES","","mix de lechugas",60,"Gr"
"FILETE DE PESCADO CON ARROZ CREMOSO DE COCO Y ENCURTIDOS VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Filete de Tilapia",150,"Gr"
"FILETE DE PESCADO CON ARROZ CREMOSO DE COCO Y ENCURTIDOS VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","ARROZ DE COCO",1,"Und"
"FILETE DE PESCADO CON ARROZ CREMOSO DE COCO Y ENCURTIDOS VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","LECHE DE COCO",200,"Ml"
"FILETE DE PESCADO CON ARROZ CREMOSO DE COCO Y ENCURTIDOS VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Mantequilla",15,"Gr"
"FILETE DE PESCADO CON ARROZ CREMOSO DE COCO Y ENCURTIDOS VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Crema de leche",15,"ml"
"FILETE DE PESCADO CON ARROZ CREMOSO DE COCO Y ENCURTIDOS VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","PASTA TEMPURA",0.05,"Kg"
"FILETE DE PESCADO CON ARROZ CREMOSO DE COCO Y ENCURTIDOS VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Rugula",30,"Gr"
"FILETE DE PESCADO CON ARROZ CREMOSO DE COCO Y ENCURTIDOS VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","GUATILA",30,"Gr"
"FILETE DE PESCADO CON ARROZ CREMOSO DE COCO Y ENCURTIDOS VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Sal",1,"Gr"
"FILETE DE PESCADO CON ARROZ CREMOSO DE COCO Y ENCURTIDOS VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Pimienta Badia",1,"Gr"
"FILETE DE PESCADO CON ARROZ CREMOSO DE COCO Y ENCURTIDOS VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Aceite de oliva",5,"Ml"
"FILETE DE PESCADO CON ARROZ CREMOSO DE COCO Y ENCURTIDOS VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","zanahoria baby",30,"Gr"
"FLOR DE CAÑA 4 AÑOS","BOTELLAS","","Flor de Cana 4 Anos",1,"Und"
"FLOR DE CAÑA SHOT","RON","","Flor de Cana 4 Anos",0.08,"Und"
"Fondo de pescado","PRODUCCION COCINA","Gr","Cabeza de pescado",2000,"Gr"
"Fondo de pescado","PRODUCCION COCINA","Gr","Cebolla blanca",500,"Gr"
"Fondo de pescado","PRODUCCION COCINA","Gr","Apio",200,"Gr"
"Fondo de pescado","PRODUCCION COCINA","Gr","Zanahoria",200,"Gr"
"Fondo de pescado","PRODUCCION COCINA","Gr","Ajo",60,"Gr"
"Fondo de pescado","PRODUCCION COCINA","Gr","Cilantro",40,"Gr"
"Fondo de pescado","PRODUCCION COCINA","Gr","Sal",5,"Gr"
"Fondo de pescado","PRODUCCION COCINA","Gr","Agua",2000,"Ml"
"FRIJOL REFRITO","PRODUCCION COCINA","Gr","frijoles negro",1000,"Gr"
"FRIJOL REFRITO","PRODUCCION COCINA","Gr","Pimienta Badia",2,"Gr"
"FRIJOL REFRITO","PRODUCCION COCINA","Gr","Sal",6,"Gr"
"FRIJOL REFRITO","PRODUCCION COCINA","Gr","Cebolla roja",250,"Gr"
"FRIJOL REFRITO","PRODUCCION COCINA","Gr","Tomate",250,"Gr"
"FRIJOL REFRITO","PRODUCCION COCINA","Gr","Pimenton rojo",200,"Gr"
"FRIJOL REFRITO","PRODUCCION COCINA","Gr","Cilantro",150,"Gr"
"FRIJOL REFRITO","PRODUCCION COCINA","Gr","Aceite Vegetal",150,"ml"
"FRIJOL REFRITO","PRODUCCION COCINA","Gr","Agua",2000,"Ml"
"FRIJOL REFRITO","PRODUCCION COCINA","Gr","Ajo",100,"Gr"
"FRIJOL ROJO","COMEDOR STAFF","Kg","Tomate",200,"Gr"
"FRIJOL ROJO","COMEDOR STAFF","Kg","Cebolla roja",200,"Gr"
"FRIJOL ROJO","COMEDOR STAFF","Kg","AJI HABANERO",100,"Gr"
"FRIJOL ROJO","COMEDOR STAFF","Kg","Sal",10,"Gr"
"FRIJOL ROJO","COMEDOR STAFF","Kg","Agua",1000,"Ml"
"FRIJOL ROJO","COMEDOR STAFF","Kg","Aceite Vegetal",10,"ml"
"FRIJOL ROJO","COMEDOR STAFF","Kg","Paprika Badia",5,"Gr"
"FRIJOL ROJO","COMEDOR STAFF","Kg","FRIJOL ROJO",1000,"Gr"
"Gatorade 500ml","BEBIDAS","","Gatorade 500ml",1,""
"Gin Hendrick's BT","BOTELLAS","","Ginebra Hendricks 750ml",1,"Unidad"
"Gin Hendrick's Shot","VODKA / GIN","","Ginebra Hendricks 750ml",0.08,"Unidad"
"GIN SALVAJE","COCKTAILS / MIX","","Syrup Simple",1,"Oz"
"GIN SALVAJE","COCKTAILS / MIX","","Ginebra Gordons 700ml",0.0857,"Unidad"
"GIN SALVAJE","COCKTAILS / MIX","","Zumo de limon",15,"Ml"
"GIN SALVAJE","COCKTAILS / MIX","","Piña",15,"Gr"
"GIN SALVAJE","COCKTAILS / MIX","","Hierba buena",10,"Gr"
"GIN-TONIC","COCKTAILS / MIX","","Ginebra Gordons 700ml",0.0857,"Unidad"
"GIN-TONIC","COCKTAILS / MIX","","Agua Tonica Canada Dry 300ml",0.5,"Unidad"
"GIN-TONIC","COCKTAILS / MIX","","Limon",15,"Gr"
"GIN-TONIC","COCKTAILS / MIX","","Naranjas Frutas",15,"Gr"
"GIN-TONIC","COCKTAILS / MIX","","Zumo de limon",5,"Ml"
"GINEBRA BOMBAY BT","BOTELLAS","","GINEBRA BOMBAY BT",1,""
"GINGER ALE","BEBIDAS","","Gingel Ale Canada Dry 300ml",1,"Unidad"
"GINTONIC FRUTOS ROJOS","COCKTAILS / MIX","","Agua Tonica 1976 Pink",1,"Unidad"
"GINTONIC FRUTOS ROJOS","COCKTAILS / MIX","","Syrup Simple",1,"Oz"
"GINTONIC FRUTOS ROJOS","COCKTAILS / MIX","","Ginebra Beaffetar Pink 700ml",0.0857,"Unidad"
"GINTONIC FRUTOS ROJOS","COCKTAILS / MIX","","Cereza marrasquino",15,"Gr"
"GINTONIC FRUTOS ROJOS","COCKTAILS / MIX","","Zumo de limon",15,"Ml"
"GLENFIDDICH 12 AÑOS BT","BOTELLAS","","The Glenfiddich 12 - 750ml",1,"Unidad"
"GLENFIDDICH 12 AÑOS SHOT","WHISKY / BOURBON","","The Glenfiddich 12 - 750ml",0.08,"Unidad"
"GLENFIDDICH 12 AÑOS SHOT","SINGLE MALT","","The Glenfiddich 12 - 750ml",0.08,"Unidad"
"GLENGLIVET 12 BT","BOTELLAS","","The Glenlivet 12  700 ml",1,"Und"
"GLENGLIVET 18 BT","BOTELLAS","","The Glenlivet 18 - 750ml",1,"Unidad"
"GLENLIVET 12 SHOT","WHISKY / BOURBON","","The Glenlivet 12  700 ml",0.0857,"Und"
"GLENLIVET 18 SHOT","WHISKY / BOURBON","","The Glenlivet 18 - 750ml",0.08,"Unidad"
"GLENLIVET AZUL SHOT","WHISKY / BOURBON","","glenlivet azul 700-ml",0.0857,"Und"
"GLENLIVET FOUNDERS BT","BOTELLAS","","The Glenlivet Founder",1,"Unidad"
"GNOCCHIS DE PAPA A LA GORGONZOLA","COMPLEMENTOS Y ADICIONALES","","SALSA GORGONZOLA",0.1,"Kg"
"GNOCCHIS DE PAPA A LA GORGONZOLA","COMPLEMENTOS Y ADICIONALES","","buñuelos de yuca",1,"Und"
"GORDON GIN BT","BOTELLAS","","Ginebra Gordons 700ml",1,"Unidad"
"GORDON GIN SHOTS","VODKA / GIN","","Ginebra Gordons 700ml",0.0857,"Unidad"
"Gordons London Dry Gin 700Ml BT","BOTELLAS","","Gordon's 700ml OZ",23.3333,"Oz"
"Grey Goose 700Ml BT","BOTELLAS","","Vodka Grey Goose 700ml",1,"Unidad"
"Grey Goose Shot","VODKA / GIN","","Grey Goose 700ml OZ",2,"Unidad"
"Guacamole","PRODUCCION COCINA","Gr","aguacate",1000,"Gr"
"Guacamole","PRODUCCION COCINA","Gr","Cilantro",200,"Gr"
"Guacamole","PRODUCCION COCINA","Gr","Limon",400,"Gr"
"Guacamole","PRODUCCION COCINA","Gr","Sal",5,"Gr"
"Guacamole","PRODUCCION COCINA","Gr","Pimienta Badia",2,"Gr"
"HAMBURGESA CON QUESO Y PAPAS + BEBIDA","MENÚ STAFF","","COCA COLA NORMAL DE 400ML",1,"Unidad"
"HAMBURGESA CON QUESO Y PAPAS + BEBIDA","MENÚ STAFF","","Agua Manantial 500ml",1,"Unidad"
"HAMBURGESA CON QUESO Y PAPAS + BEBIDA","MENÚ STAFF","","bebidas hidratantes",1,"Unidad"
"HAMBURGUESA ATOLON VIP PASS PASADIA","VIP PASS MENU","","Pan hamburguesa",1,"Und"
"HAMBURGUESA ATOLON VIP PASS PASADIA","VIP PASS MENU","","Hamburguesa Angus",1,"Und"
"HAMBURGUESA ATOLON VIP PASS PASADIA","VIP PASS MENU","","Tocineta ahumada",30,"Gr"
"HAMBURGUESA ATOLON VIP PASS PASADIA","VIP PASS MENU","","QUESO CHEDDAR",1,"Gr"
"HAMBURGUESA ATOLON VIP PASS PASADIA","VIP PASS MENU","","MAYONESA DE TRUFA",0.3,"Kg"
"HAMBURGUESA ATOLON VIP PASS PASADIA","VIP PASS MENU","","CEBOLLA CARAMELIZADA",0.3,"Kg"
"HAMBURGUESA ATOLON VIP PASS PASADIA","VIP PASS MENU","","Lechuga Crespa Verde",10,"Gr"
"HAMBURGUESA ATOLON VIP PASS PASADIA","VIP PASS MENU","","Tomate",10,"Gr"
"HAMBURGUESA ATOLON VIP PASS PASADIA","VIP PASS MENU","","papas francesas",150,"Gr"
"HAMBURGUESA ATOLON VIP PASS PASADIA","VIP PASS MENU","","Queso Mozarella Tajado",15,"Gr"
"Hamburguesa Clásica  Niños | Classic Hamburger Kids","MENU ATOLONTO KIDS","","Hamburguesa Angus",1,"Und"
"Hamburguesa Clásica  Niños | Classic Hamburger Kids","MENU ATOLONTO KIDS","","Pan hamburguesa",1,"Und"
"Hamburguesa Clásica  Niños | Classic Hamburger Kids","MENU ATOLONTO KIDS","","QUESO CHEDDAR",1,"Gr"
"Hamburguesa Clásica  Niños | Classic Hamburger Kids","MENU ATOLONTO KIDS","","QUESO MOZARRELA BLOQUE",15,"Gr"
"Hamburguesa Clásica  Niños | Classic Hamburger Kids","MENU ATOLONTO KIDS","","papas francesas",300,"Gr"
"Hamburguesa de Pollo | Chicken Hamburger","MENU ATOLONTO KIDS","","papas francesas",300,"Gr"
"Hamburguesa de Pollo | Chicken Hamburger","MENU ATOLONTO KIDS","","Pan hamburguesa",1,"Und"
