Producto,Categoria,UnidadProducto,Ingrediente,CantidadReceta,UnidadIngrediente
"ALITAS DE POLLOI ALITAS BBQ","COMEDOR STAFF","Kg","Pimienta Badia",1,"Gr"
"ALITAS DE POLLOI ALITAS FRITAS","COMEDOR STAFF","Kg","Alas de Pollo",1000,"Kg"
"ALITAS DE POLLOI ALITAS FRITAS","COMEDOR STAFF","Kg","Sal",10,"Gr"
"ALITAS DE POLLOI ALITAS FRITAS","COMEDOR STAFF","Kg","Mostaza",10,"Gr"
"ALITAS DE POLLOI ALITAS FRITAS","COMEDOR STAFF","Kg","Salsa de soya",10,"Ml"
"ALITAS DE POLLOI ALITAS FRITAS","COMEDOR STAFF","Kg","Vinagre 3000ML",10,"Ml"
"ALITAS DE POLLOI ALITAS FRITAS","COMEDOR STAFF","Kg","harina de trigo",100,"Gr"
"ALITAS DE POLLOI ALITAS FRITAS","COMEDOR STAFF","Kg","Aceite Vegetal",300,"ml"
"ALOJAMIENTO PORCION FRUTA","DESAYUNOS INCLUIDOS","","Melon",100,"Gr"
"ALOJAMIENTO PORCION FRUTA","DESAYUNOS INCLUIDOS","","Patilla",100,"Gr"
"ALOJAMIENTO PORCION FRUTA","DESAYUNOS INCLUIDOS","","Piña",100,"Gr"
"ALOJAMIENTO PORCION FRUTA","DESAYUNOS INCLUIDOS","","PAPAYA",100,"Gr"
"AMARETTO DISARONNO BT","BOTELLAS","","Licor Amareto Disaronno 750ml",1,"Unidad"
"AMARETTO DISARONNO SHOT","SPIRITS & COGNACS","","Licor Amareto Disaronno 750ml",0.08,"Unidad"
"ANIVERSARIO SHOT","RON","","ANIVERSARIO 750 ML",0.8,"Und"
"APEROL BT","BOTELLAS","","Aperol 750ml",1,"Unidad"
"APEROL SHOT","SPIRITS & COGNACS","","Aperol 750ml",0.08,"Unidad"
"APEROL SPRITZ","COCKTAILS / MIX","","Espumoso Baron Rotberg 750ml",0.12,"Unidad"
"APEROL SPRITZ","COCKTAILS / MIX","","Soda Bretaña 300ml",0.2,"Unidad"
"APEROL SPRITZ","COCKTAILS / MIX","","Naranjas Frutas",10,"Gr"
"APEROL SPRITZ","COCKTAILS / MIX","","Aperol 750ml",0.08,"Unidad"
"AREPA DE HUEVO","MENU - DESAYUNOS","","MASA DE MAIZ AMARRILLO",120,"Gr"
"AREPA DE HUEVO","MENU - DESAYUNOS","","HUEVOS",1,"Und"
"AREPA DE HUEVO","MENU - DESAYUNOS","","Suero Costeño",30,"Gr"
"AREPAS","MENU - DESAYUNOS","Und","Agua",100,"Ml"
"AREPAS","MENU - DESAYUNOS","Und","Harina de maiz",150,"Gr"
"AREPAS","MENU - DESAYUNOS","Und","Sal",1,"Gr"
"AREPAS","MENU - DESAYUNOS","Und","Aceite Vegetal",100,"ml"
"AREPAS COMEDOR","COMEDOR STAFF","","HARINA PAN",2,"Und"
"AREPAS COMEDOR","COMEDOR STAFF","","Sal",20,"Gr"
"AREPAS COMEDOR","COMEDOR STAFF","","Agua",200,"Ml"
"AREPAS COMEDOR","COMEDOR STAFF","","Aceite Vegetal",1000,"ml"
"ARROZ","COMEDOR STAFF","Kg","Arroz",1000,"Gr"
"ARROZ","COMEDOR STAFF","Kg","Sal",10,"Gr"
"ARROZ","COMEDOR STAFF","Kg","Aceite Vegetal",100,"ml"
"ARROZ","COMEDOR STAFF","Kg","Agua",2000,"Ml"
"ARROZ CALDOSO DE MARISCO VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Arroz",100,"Gr"
"ARROZ CALDOSO DE MARISCO VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Filete de Tilapia",150,"Gr"
"ARROZ CALDOSO DE MARISCO VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","LANGOSTINOS",50,"Gr"
"ARROZ CALDOSO DE MARISCO VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","CAMARON",80,"Gr"
"ARROZ CALDOSO DE MARISCO VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","mejillones",100,"Gr"
"ARROZ CALDOSO DE MARISCO VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Fondo de pescado",200,"Gr"
"ARROZ CALDOSO DE MARISCO VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Crema de leche",30,"ml"
"ARROZ CALDOSO DE MARISCO VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Mantequilla",30,"Gr"
"ARROZ CALDOSO DE MARISCO VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","salsa napolitana",200,"Gr"
"ARROZ CALDOSO DE MARISCO VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Paprika Badia",2,"Gr"
"ARROZ CALDOSO DE MARISCO VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","LECHE DE COCO",200,"Ml"
"ARROZ CALDOSO DE MARISCO VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","VINO BLANCO",50,"Ml"
"ARROZ CALDOSO DE MARISCO VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","PASTA TEMPURA",0.5,"Kg"
"ARROZ CALDOSO DE MARISCO VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Cebolla roja",30,"Gr"
"ARROZ CALDOSO DE MARISCO VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","Cilantro",10,"Gr"
"ARROZ CALDOSO DE MARISCO VIP EXCLUSIVE PASADIA","VIP EXCLUSIVE MENU","","ARVEJA",20,"Gr"
"ARROZ CALDOSO DE MARISCOS","PLATOS PRINCIPALES","","Arroz",100,"Gr"
"ARROZ CALDOSO DE MARISCOS","PLATOS PRINCIPALES","","Filete de Tilapia",150,"Gr"
"ARROZ CALDOSO DE MARISCOS","PLATOS PRINCIPALES","","LANGOSTINOS",50,"Gr"
"ARROZ CALDOSO DE MARISCOS","PLATOS PRINCIPALES","","CAMARON",80,"Gr"
"ARROZ CALDOSO DE MARISCOS","PLATOS PRINCIPALES","","mejillones",100,"Gr"
"ARROZ CALDOSO DE MARISCOS","PLATOS PRINCIPALES","","Fondo de pescado",200,"Gr"
"ARROZ CALDOSO DE MARISCOS","PLATOS PRINCIPALES","","Crema de leche",30,"ml"
"ARROZ CALDOSO DE MARISCOS","PLATOS PRINCIPALES","","Mantequilla",30,"Gr"
"ARROZ CALDOSO DE MARISCOS","PLATOS PRINCIPALES","","salsa napolitana",200,"Gr"
"ARROZ CALDOSO DE MARISCOS","PLATOS PRINCIPALES","","LECHE DE COCO",200,"Ml"
"ARROZ CALDOSO DE MARISCOS","PLATOS PRINCIPALES","","Paprika Badia",2,"Gr"
"ARROZ CALDOSO DE MARISCOS","PLATOS PRINCIPALES","","Cilantro",10,"Gr"
"ARROZ CALDOSO DE MARISCOS","PLATOS PRINCIPALES","","Limon",30,"Gr"
"ARROZ CALDOSO DE MARISCOS","PLATOS PRINCIPALES","","PASTA TEMPURA",0.05,"Kg"
"ARROZ CALDOSO DE MARISCOS","PLATOS PRINCIPALES","","VINO BLANCO",30,"Ml"
"ARROZ CALDOSO DE MARISCOS","PLATOS PRINCIPALES","","Cebolla Morada",20,"Gr"
"ARROZ DE COCO","PRODUCCION COCINA","Und","Arroz",100,"Gr"
"ARROZ DE COCO","PRODUCCION COCINA","Und","Panela D1",0.2,"Und"
"ARROZ DE COCO","PRODUCCION COCINA","Und","Azucar Aro",15,"Gr"
"ARROZ DE COCO","PRODUCCION COCINA","Und","Aceite Vegetal",3,"ml"
"ARROZ DE COCO","PRODUCCION COCINA","Und","Sal",1,"Gr"
"ARROZ DE COCO","PRODUCCION COCINA","Und","Agua",160,"Ml"
"ARROZ DE COCO","PRODUCCION COCINA","Und","coco",0.1,"Gr"
"arroz jazmin","PRODUCCION COCINA","Und","arroz jazmin",500,"Gr"
"arroz jazmin","PRODUCCION COCINA","Und","Agua",1000,"Ml"
"arroz jazmin","PRODUCCION COCINA","Und","Sal",2,"Gr"
"arroz jazmin","PRODUCCION COCINA","Und","Aceite Vegetal",20,"ml"
"ARROZ PORCION","COMPLEMENTOS Y ADICIONALES","","ARROZ DE COCO",1,"Und"
"ATOLON  PIZZA","PIZZAS Y TACOS","","masa pizza",1,"Und"
"ATOLON  PIZZA","PIZZAS Y TACOS","","jamon serrano",30,"Gr"
"ATOLON  PIZZA","PIZZAS Y TACOS","","salsa napolitana",150,"Gr"
"ATOLON  PIZZA","PIZZAS Y TACOS","","QUESO MOZARRELA BLOQUE",200,"Gr"
"ATOLON  PIZZA","PIZZAS Y TACOS","","queso crema",10,"Gr"
"ATOLON  PIZZA","PIZZAS Y TACOS","","SALSA PESTO",0.1,"Kg"
"ATOLON  PIZZA","PIZZAS Y TACOS","","TOMATES  DESIDRATADOS",0.1,"Kg"
"ATOLON BURGUER","PLATOS PRINCIPALES","","Pan hamburguesa",1,"Und"
"ATOLON BURGUER","PLATOS PRINCIPALES","","Lechuga Crespa Verde",10,"Gr"
"ATOLON BURGUER","PLATOS PRINCIPALES","","Hamburguesa Angus",1,"Und"
"ATOLON BURGUER","PLATOS PRINCIPALES","","papas francesas",150,"Gr"
"ATOLON BURGUER","PLATOS PRINCIPALES","","Tomate",10,"Gr"
"ATOLON BURGUER","PLATOS PRINCIPALES","","Tocineta ahumada",30,"Gr"
"ATOLON BURGUER","PLATOS PRINCIPALES","","Queso Mozarella Tajado",15,"Gr"
"ATOLON BURGUER","PLATOS PRINCIPALES","","QUESO CHEDDAR",12,"Gr"
"ATOLON BURGUER","PLATOS PRINCIPALES","","MAYONESA DE TRUFA",0.03,"Kg"
"ATOLON BURGUER","VIP EXCLUSIVE MENU","","Hamburguesa Angus",1,"Und"
"ATOLON BURGUER","VIP EXCLUSIVE MENU","","Pan hamburguesa",1,"Und"
"ATOLON BURGUER","VIP EXCLUSIVE MENU","","Tocineta ahumada",30,"Gr"
"ATOLON BURGUER","VIP EXCLUSIVE MENU","","CEBOLLA CARAMELIZADA",30,"Kg"
"ATOLON BURGUER","VIP EXCLUSIVE MENU","","Tomate",30,"Gr"
"ATOLON BURGUER","VIP EXCLUSIVE MENU","","Lechuga Crespa Verde",10,"Gr"
"ATOLON BURGUER","VIP EXCLUSIVE MENU","","MAYONESA DE TRUFA",30,"Kg"
"ATOLON BURGUER","VIP EXCLUSIVE MENU","","papas francesas",300,"Gr"
"ATOLON BURGUER","VIP EXCLUSIVE MENU","","Queso Mozarella Tajado",15,"Gr"
"ATOLON COCKTAIL","COCKTAILS / MIX","","Aguardiente Antioqueño Azul 750ml",0.08,"Unidad"
"ATOLON COCKTAIL","COCKTAILS / MIX","","Syrup Simple",1,"Oz"
"ATOLON COCKTAIL","COCKTAILS / MIX","","Maracuya B",20,"Gr"
"ATOLON COCKTAIL","COCKTAILS / MIX","","Pepino",58,"Gr"
"ATOLON SALAD","ENTRADAS Y ENSALADAS","","VINAGRETA FRUTOS ROJOS",0.03,"Kg"
"ATOLON SALAD","ENTRADAS Y ENSALADAS","","LECHUGA CRESPA MORADA",30,"Gr"
"ATOLON SALAD","ENTRADAS Y ENSALADAS","","Lechuga Crespa Verde",30,"Gr"
"ATOLON SALAD","ENTRADAS Y ENSALADAS","","LECHUGA ROMANA",30,"Gr"
"ATOLON SALAD","ENTRADAS Y ENSALADAS","","QUESO CABRA",30,"Gr"
"ATOLON SALAD","ENTRADAS Y ENSALADAS","","MANZANA VERDE",70,"Gr"
